compound: 0.3595, neg: 0.0, neu: 0.814, pos: 0.186, 
compound: 0.4215, neg: 0.0, neu: 0.851, pos: 0.149, 
compound: -0.0258, neg: 0.248, neu: 0.573, pos: 0.178, 
compound: 0.7777, neg: 0.0, neu: 0.874, pos: 0.126, 
compound: -0.2263, neg: 0.214, neu: 0.629, pos: 0.157, 
compound: -0.6908, neg: 0.192, neu: 0.808, pos: 0.0, 
compound: -0.3597, neg: 0.294, neu: 0.706, pos: 0.0, 
compound: 0.9136, neg: 0.0, neu: 0.75, pos: 0.25, 
compound: -0.8126, neg: 0.266, neu: 0.734, pos: 0.0, 
compound: -0.3597, neg: 0.172, neu: 0.828, pos: 0.0, 
compound: 0.2023, neg: 0.0, neu: 0.899, pos: 0.101, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0516, neg: 0.0, neu: 0.806, pos: 0.194, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0762, neg: 0.0, neu: 0.92, pos: 0.08, 
compound: 0.3804, neg: 0.0, neu: 0.822, pos: 0.178, 
compound: 0.2363, neg: 0.137, neu: 0.668, pos: 0.194, 
compound: -0.2263, neg: 0.174, neu: 0.826, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.3182, neg: 0.114, neu: 0.784, pos: 0.102, 
compound: 0.2263, neg: 0.0, neu: 0.808, pos: 0.192, 
compound: -0.1531, neg: 0.122, neu: 0.793, pos: 0.085, 
compound: 0.3182, neg: 0.047, neu: 0.856, pos: 0.097, 
compound: -0.1779, neg: 0.134, neu: 0.758, pos: 0.108, 
compound: 0.4588, neg: 0.0, neu: 0.842, pos: 0.158, 
compound: 0.3612, neg: 0.0, neu: 0.8, pos: 0.2, 
compound: 0.5267, neg: 0.0, neu: 0.815, pos: 0.185, 
compound: 0.5878, neg: 0.0, neu: 0.714, pos: 0.286, 
compound: 0.1027, neg: 0.0, neu: 0.931, pos: 0.069, 
compound: -0.5423, neg: 0.368, neu: 0.632, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.128, neg: 0.046, neu: 0.954, pos: 0.0, 
compound: 0.3818, neg: 0.0, neu: 0.902, pos: 0.098, 
compound: 0.6152, neg: 0.076, neu: 0.717, pos: 0.207, 
compound: -0.0516, neg: 0.097, neu: 0.765, pos: 0.138, 
compound: 0.1531, neg: 0.116, neu: 0.741, pos: 0.144, 
compound: 0.296, neg: 0.0, neu: 0.694, pos: 0.306, 
compound: -0.3565, neg: 0.212, neu: 0.669, pos: 0.119, 
compound: 0.2263, neg: 0.0, neu: 0.925, pos: 0.075, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.044, neu: 0.912, pos: 0.044, 
compound: -0.3187, neg: 0.122, neu: 0.814, pos: 0.063, 
compound: 0.2263, neg: 0.0, neu: 0.913, pos: 0.087, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.2714, neg: 0.0, neu: 0.847, pos: 0.153, 
compound: 0.3818, neg: 0.0, neu: 0.278, pos: 0.722, 
compound: 0.34, neg: 0.0, neu: 0.918, pos: 0.082, 
compound: 0.2732, neg: 0.0, neu: 0.87, pos: 0.13, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.93, neg: 0.042, neu: 0.689, pos: 0.269, 
compound: 0.25, neg: 0.0, neu: 0.875, pos: 0.125, 
compound: 0.6597, neg: 0.0, neu: 0.484, pos: 0.516, 
compound: 0.5413, neg: 0.082, neu: 0.771, pos: 0.146, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.2023, neg: 0.0, neu: 0.847, pos: 0.153, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.4019, neg: 0.0, neu: 0.722, pos: 0.278, 
compound: 0.2023, neg: 0.0, neu: 0.913, pos: 0.087, 
compound: 0.1695, neg: 0.0, neu: 0.783, pos: 0.217, 
compound: 0.2023, neg: 0.0, neu: 0.735, pos: 0.265, 
compound: 0.8074, neg: 0.0, neu: 0.743, pos: 0.257, 
compound: -0.3612, neg: 0.556, neu: 0.444, pos: 0.0, 
compound: 0.34, neg: 0.0, neu: 0.789, pos: 0.211, 
compound: 0.5994, neg: 0.0, neu: 0.741, pos: 0.259, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.1027, neg: 0.176, neu: 0.686, pos: 0.137, 
compound: 0.4588, neg: 0.0, neu: 0.786, pos: 0.214, 
compound: -0.128, neg: 0.109, neu: 0.806, pos: 0.085, 
compound: -0.2263, neg: 0.064, neu: 0.896, pos: 0.039, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.1027, neg: 0.0, neu: 0.877, pos: 0.123, 
compound: -0.34, neg: 0.324, neu: 0.676, pos: 0.0, 
compound: 0.1027, neg: 0.0, neu: 0.928, pos: 0.072, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.34, neg: 0.0, neu: 0.815, pos: 0.185, 
compound: 0.2714, neg: 0.0, neu: 0.886, pos: 0.114, 
compound: 0.2023, neg: 0.0, neu: 0.94, pos: 0.06, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.3182, neg: 0.0, neu: 0.859, pos: 0.141, 
compound: -0.1779, neg: 0.285, neu: 0.518, pos: 0.197, 
compound: 0.3818, neg: 0.0, neu: 0.66, pos: 0.34, 
compound: 0.4062, neg: 0.0, neu: 0.688, pos: 0.312, 
compound: -0.1531, neg: 0.127, neu: 0.873, pos: 0.0, 
compound: -0.2732, neg: 0.189, neu: 0.811, pos: 0.0, 
compound: -0.6124, neg: 0.252, neu: 0.693, pos: 0.054, 
compound: -0.4215, neg: 0.177, neu: 0.752, pos: 0.071, 
